Season,Date,Link,Description
2024-2025,2024-09-01,photo_2025-06-14_19-04-11.jpg,Team photo
2024-2025,2024-10-01,viktor-bristol-3.jpg,Ferocious Battling
2024-2025,2025-03-10,practising-turns.mp4,Practicing my turns
2024-2025,2024-10-20,P1011182-good-takeaways.MOV,Getting stuck in during one of the first games
2024-2025,2024-10-23,202463906793_1098988645563657_4631456950734883378_n.jpg,Mascoting for the Berkshire Bees
2024-2025,2024-10-26,PA261197-good-carry-almost-a-goal.MOV,Great carry and almost my first goal!
2024-2025,2024-11-02,PB021185-twirls.MOV,A funny figure skating shift:)
2024-2025,2024-11-16,PB161352.MOV,Now to watch the big boys play
2024-2025,2024-11-17,PB231397-good-shot.MOV,We though it was a goal
2024-2025,2024-11-23,PB231405-very-good-closedown.MOV,Playing the physical game
2024-2025,2025-01-12,P1120017-good-battles.MOV,I'm at the bottom of the pile
2024-2025,2025-03-01,P3010031-good-battle-1-on-5.MOV,Fistbunmps
2024-2025,2025-03-30,VID_20250330_160631.mp4,More figure skating while the rest play the game
2024-2025,2025-04-12,VID_20250412_132915-weeee.mp4,Saluting the fans
2024-2025,2025-04-27,P1010343-telling-dad.MOV,Telling dad that coach put me in defense CUT 16-30
2024-2025,2025-05-10,P5100528-grit.MOV,Grit CUT to 45
2024-2025,2025-05-10,P5100544-goooooooooal.MOV,My tap-in goal against Bristol
2024-2025,2025-05-11,P5110564-goooooooooooal.MOV,My goal against Streatham
2024-2025,2025-05-11,P5110566-good-skate-and-pass.MOV,Playing the puck out to teammate
2024-2025,2025-05-18,P5180583-goooooooooal.MOV,My goal against Guildford
2024-2025,2025-05-18,P5180586-very-good-carry-with-turn.MOV,Carrying and cutting in for the shot!
2024-2025,2025-05-18,P5180587-excellent-shimmy.MOV,My end to end puck carry
2024-2025,2025-07-05,video_2025-07-05_17-04-43.mp4,Scoring 2 goals in a scrimmage
